,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,
Subject: Geographic Distribution,,,,,,,,,,,,,,,,
Topic: Census of Population and General Household Survey,,,,,,,,,,,,,,,,
Table Title: Resident Population by Planning Area/Subzone and Age Group (Census of Population 2010),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Data last updated: 24/03/2016,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Number,
Planning Area/Subzone,Total,Age Group (Years),,,,,,,,,,,,,,
,,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 & Over,
Total,3771721,194432,215675,244302,263750,247190,272639,298687,320024,309441,323459,303044,248696,191995,338387,
  Ang Mo Kio,179297,7967,8424,9335,10457,10656,13400,14502,14510,13525,14862,14605,13785,11868,21401,
  Bedok,294519,13230,15018,17489,20083,20156,21265,21707,22751,22018,24615,24632,21891,18018,31646,
  Bishan,91298,3941,4759,5691,7188,6338,5930,6010,7354,7102,8041,8245,6725,5141,8833,
  Bukit Batok,144198,7187,8516,9738,10427,10625,11332,10941,11829,12259,13049,12433,9911,6487,9464,
  Bukit Merah,157122,8049,6892,6894,7479,7940,10865,13871,13495,11796,11650,12057,11352,10782,24000,
  Bukit Panjang,128734,7106,8334,9324,10224,9734,9102,9488,11171,10469,11528,10784,7907,5316,8247,
  Bukit Timah,70314,3115,4456,4681,5238,4613,3816,4096,5689,6071,6156,5726,4841,4178,7638,
  Changi,2155,169,192,159,139,94,111,187,252,223,175,122,81,73,178,
  Choa Chu Kang,173291,9232,11823,15195,15362,11637,11893,12541,14483,16675,16919,13299,9112,5855,9265,
  Clementi,91874,4235,4567,4713,4732,5133,7093,7818,7831,7201,7331,6882,7064,6648,10626,
  Downtown Core,3722,144,122,140,137,161,287,315,326,357,295,295,265,262,616,
  Geylang,120690,5392,5654,6611,7712,7717,8810,9411,9399,9170,10017,10155,8662,7184,14796,
  Hougang,216697,9236,11358,14340,16781,15887,15403,14755,16384,17006,19847,19573,15430,11309,19388,
  Jurong East,88118,4077,4712,5197,5926,6351,7381,7001,7142,6687,7051,7273,6795,5127,7398,
  Jurong West,267524,16036,17192,18176,19075,18092,22687,24944,24293,22510,21521,19701,16636,11534,15127,
  Kallang,99559,4444,4604,4813,5005,5377,6808,7890,8768,7906,7994,7961,7268,6461,14260,
  Mandai,1865,113,113,163,136,115,113,132,186,177,171,134,103,77,132,
  Marine Parade,47318,2168,2656,2749,2836,2510,2631,3344,4297,3990,3894,3591,3072,2951,6629,
  Newton,6242,308,365,356,338,319,327,420,597,630,591,483,444,404,660,
  Novena,46640,2290,2483,2616,2631,2495,2927,3638,4224,3970,3963,3614,3081,2621,6087,
  Outram,19859,966,638,656,720,873,1398,1795,1555,1362,1464,1545,1541,1535,3811,
  Pasir Ris,133863,6588,8854,12362,13639,8675,7540,8503,10109,13249,14402,10622,7128,4538,7654,
  Punggol,59386,6484,5042,3108,2682,2533,3977,8012,8317,4689,3885,3233,2563,2008,2853,
  Queenstown,98502,4592,4414,4771,4935,5045,6812,8311,8636,8075,7904,7144,6508,6300,15055,
  River Valley,8206,361,413,441,459,428,538,704,840,856,736,641,531,458,800,
  Rochor,15664,637,608,654,722,850,1155,1457,1385,1180,1165,1246,1137,1044,2424,
  Sembawang,72732,5662,5602,4898,4404,4456,5712,7595,8143,6155,5629,4911,3506,2282,3777,
  Sengkang,167054,13670,12244,11236,9745,9241,12561,18166,18810,13777,12656,11671,8513,5881,8883,
  Serangoon,124782,4875,6244,7883,9600,9182,8891,8090,8908,9169,10699,11383,9778,7511,12569,
  Singapore River,2000,116,112,91,81,64,148,238,291,251,186,135,96,62,129,
  Tampines,261743,12262,14488,18735,22047,20347,19610,18654,19207,20926,23819,23430,18139,12103,17976,
  Tanglin,17293,867,1104,1050,1038,829,911,1238,1625,1731,1628,1369,1169,1026,1708,
