,,,,,,,,,,
Theme: Population,,,,,,,,,,
Subject: Geographic Distribution,,,,,,,,,,
Topic: Census of Population and General Household Survey,,,,,,,,,,
Table Title: Resident Households by Planning Area of Residence and Type of Dwelling (Census of Population 2020),,,,,,,,,,
,,,,,,,,,,
Data last updated: 18/06/2021,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,Number,
Planning Area of Residence,Total,HDB Dwellings,,,,,Condominiums and Other Apartments,Landed Properties,Others,
,,Total,1- and 2-Room Flats1/,3-Room Flats,4-Room Flats,5-Room and Executive Flats,,,,
Total,1372559,1080088,88814,242388,434277,314609,220102,68425,3944,
  Ang Mo Kio,60220,50647,5002,24087,14894,6664,4815,4433,325,
  Bedok,97551,64565,5391,22903,22045,14226,20922,11545,519,
  Bishan,29445,20547,605,2334,9882,7727,5786,3040,72,
  Bukit Batok,54297,43387,3335,11517,18425,10109,9338,1466,106,
  Bukit Merah,59700,53875,10995,15708,17382,9790,5429,190,207,
  Bukit Panjang,43580,36120,1234,3638,17144,14104,6643,817,-,
  Bukit Timah,24612,2493,147,469,850,1027,12827,9163,129,
  Choa Chu Kang,58024,50018,2088,2487,24202,21241,7395,606,5,
  Clementi,33609,25820,1117,11461,9298,3943,5988,1614,186,
  Downtown Core,1547,229,-,-,229,-,1282,-,36,
  Geylang,42060,30971,4174,11708,10424,4665,8880,1864,344,
  Hougang,75109,57979,3132,10958,27963,15926,10899,6073,158,
  Jurong East,27213,24649,1090,7162,8455,7942,2477,-,86,
  Jurong West,83879,77166,3700,12815,31404,29247,5632,1019,61,
  Kallang,40832,32257,6907,10940,9674,4736,7709,509,357,
  Marine Parade,17069,7993,1387,2946,1826,1833,6334,2603,139,
  Novena,18281,8370,768,3342,2822,1438,7641,2193,76,
  Outram,8053,7605,2889,2356,1735,625,420,-,27,
  Pasir Ris,44799,30080,734,356,11809,17180,12814,1905,-,
  Punggol,56166,49035,4364,5404,22277,16990,7061,69,-,
  Queenstown,37053,31259,3814,13661,9424,4360,4676,1032,86,
  River Valley,3976,-,-,-,-,-,3721,252,3,
  Sembawang,33049,28584,3516,1507,11908,11653,3509,943,13,
  Sengkang,79376,68180,3950,4043,31507,28680,10823,372,-,
  Serangoon,38086,22085,664,4376,10514,6531,6178,9745,78,
  Tampines,83681,72846,3215,14313,31182,24136,9543,1211,81,
  Tanglin,7938,187,-,21,79,86,6493,1234,25,
  Toa Payoh,46880,39272,4793,16019,11368,7092,5440,1771,397,
  Woodlands,78839,72965,5299,7367,31978,28321,5592,214,68,
  Yishun,75403,66773,4119,16531,32083,14040,6902,1496,232,
  Others,12233,4131,383,1961,1492,295,6933,1045,124,
,,,,,,,,,,
,,,,,,,,,,
Footnotes:,,,,,,,,,,
Note: Planning areas refer to areas demarcated in the Urban Redevelopment Authority’s Master Plan 2019.,,,,,,,,,,
HDB Dwellings -> 1- and 2-Room Flats:,,,,,,,,,,
1/ Includes HDB studio apartments. ,,,,,,,,,,
,,,,,,,,,,
Notation:,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,
Notes,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,
,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,
Date generated: 13/12/2023,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,
