,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Households,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Household Income,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Income Inequality,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Gini Coefficient Among Resident Employed Households (Including Employer CPF Contributions), 2000 - 2022 (Household Income From Work, Annual)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 09/02/2023,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,-,
Before / After Accounting for Government Transfers and Taxes,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,
Household Income from Work Per Household Member (Including Employer CPF Contributions),0.437,0.444,0.452,0.452,0.458,0.459,0.458,0.463,0.464,0.463,0.478,0.473,0.472,0.471,0.474,0.482,0.47,0.465,0.46,0.457,0.454,0.454,0.442,
Household Income from Work Per Household Member (Including Employer CPF Contributions) After Accounting for Government Transfers and Taxes1/,0.378,0.385,0.375,0.398,0.403,0.402,0.401,0.409,0.411,0.409,0.432,0.423,0.425,0.422,0.424,0.439,0.418,0.422,0.419,0.422,0.414,0.419,0.414,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,
"Note: A resident employed household refers to a household where the household reference person is a Singapore citizen or permanent resident, and with at least one employed person.",,,,,,,,,,,,,,,,,,,,,,,,
Household Income from Work Per Household Member (Including Employer CPF Contributions) After Accounting for Government Transfers and Taxes:,,,,,,,,,,,,,,,,,,,,,,,,
1/ Refer to glossary for Government transfers and taxes that were included in the paper. Data on income after accounting for Government transfers and taxes for 2022 are preliminary.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,
Gini Coefficient:,,,,,,,,,,,,,,,,,,,,,,,,
"A summary measure of income inequality. It is equal to zero in the case of total income equality and equal to one in the case of total inequality. The more unequal the income distribution, the larger the value of the Gini coefficient. ",,,,,,,,,,,,,,,,,,,,,,,,
Household Income from Work:,,,,,,,,,,,,,,,,,,,,,,,,
"Refers to the sum of income received by employed members of the household from employment and business. However, it does not include the income of domestic workers. Monthly household income from work includes one-twelfth of the annual bonus. Data on household income from work refer to household income from work before accounting for Government transfers and taxes, unless stated otherwise. As the income data pertain to income from work, the coverage of households is based on resident employed households. Data on household income are based on the sample of households surveyed in the June Comprehensive Labour Force Surveys conducted by the Ministry of Manpower every year, except for 2000, 2005, 2010 and 2020 which are based on the Censuses of Population and the mid-decade General Household Survey. The income estimates are based on income as reported by survey respondents and augmented with administrative data. Survey estimates are subject to sampling variability.",,,,,,,,,,,,,,,,,,,,,,,,
Household Income from Work Per Household Member:,,,,,,,,,,,,,,,,,,,,,,,,
"Refers to the household income from work divided by the total number of members in the household. For example, if there is one person in a household of four who is employed, his income is divided by four to derive the income per household   member. This takes into account the different sizes of households in each group and enables analysis of changes in household income, adjusted for changes in household size over time.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 31/12/2023,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,
