,,,,,,,,
Theme: Households,,,,,,,,
Subject: Household Income,,,,,,,,
Topic: Government Transfers and Taxes,,,,,,,,
"Table Title: Average Annual Government Transfers Per Household Member Among Resident Households by Type of Dwelling, 2003 - 2022 (Household Income From Work, Annual)",,,,,,,,
,,,,,,,,
Data last updated: 09/02/2023,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,
,,,,,,,,
,,,,,,,Dollar,
Year,Total1/,HDB 1- & 2- Room Flats2/,HDB 3-Room Flats,HDB 4-Room Flats,HDB 5-Room & Executive Flats,Condominiums & Other Apartments,Landed Properties,
2022,5765,12189,6361,5676,5584,3624,3800,
2021,5257,11530,5578,5163,5054,3395,3616,
2020,6319,13824,7251,6265,6001,3670,3732,
2019,4672,10675,4847,4537,4607,3017,3177,
2018,4545,10539,4678,4407,4484,2929,3148,
2017,4499,10425,4500,4391,4419,3047,3333,
2016,4250,10067,4254,4129,4234,2712,2908,
2015,4098,9480,3856,3908,4234,2888,3096,
2014,3527,9324,3387,3402,3554,2177,2488,
2013,3671,8845,3398,3486,3770,2701,2771,
2012,2871,7212,2504,2774,3049,1976,2235,
2011,3273,7632,2987,3104,3401,2456,2812,
2010,2623,6559,2376,2561,2696,1790,2135,
2009,2708,5711,2410,2666,2770,2173,2416,
2008,2865,5792,2707,2866,2889,2206,2635,
2007,2008,3850,1729,2062,2179,1423,1748,
2006,2280,4769,2221,2383,2251,1456,1788,
2005,1855,3879,1565,1862,1934,1370,1800,
2004,1674,3124,1456,1730,1781,1244,1513,
2003,1589,3314,1386,1651,1623,1039,1407,
,,,,,,,,
,,,,,,,,
Footnotes:,,,,,,,,
"Note: As more administrative data on transfers become available, the coverage for Government transfers has been expanded over the years to include more type of transfers. Refer to the glossary of the Key Household Income Trends, 2022 paper for the Government transfers that are included. Government transfers for 2022 are preliminary. A resident household refers to a household where the household reference person is a Singapore citizen or permanent resident.",,,,,,,,
HDB 1- & 2- Room Flats:,,,,,,,,
2/ Includes HDB studio apartments.,,,,,,,,
Total:,,,,,,,,
"1/ Includes other types of dwelling not shown, e.g. non-HDB shophouses etc.",,,,,,,,
,,,,,,,,
Notation:,,,,,,,,
na   not available or not applicable,,,,,,,,
nec  not elsewhere classified,,,,,,,,
nes  not elsewhere specified,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,
Notes,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,
,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,
Date generated: 03/01/2024,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,
