,,
Theme: Households,,
Subject: Households,,
Topic: Resident Households,,
"Table Title: Resident Households By Tenancy, Annual",,
,,
Data last updated: 09/02/2023,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,
,,
Data Series,2022 ,2000 
Proportion Of Owner-Occupied Resident Households (Per Cent),89.3,92
  Total HDB Dwellings (Per Cent),90.9,93.1
    HDB 1- And 2-Room Flats (Per Cent),40.6,19.3
    HDB 3-Room Flats (Per Cent),93.8,96.1
    HDB 4-Room Flats (Per Cent),95.9,98
    HDB 5-Room And Executive Flats (Per Cent),96.8,98.5
  Condominiums & Other Apartments (Per Cent),81.9,80.8
  Landed Properties (Per Cent),90.7,89.8
  Other Types Of Dwelling (Per Cent),59.7,56.1
,,
Footnotes:,,
"A resident household refers to a household where the household reference person is a Singapore citizen or permanent resident. Tenancy refers to the tenure status of the household with respect to the dwelling in which the household members live in. Data for 1980, 1990, 2000, 2010 and 2020 are based on the Census of Population while data for 1995, 2005 and 2015 are based on the General Household Survey. Data for all other years are based on the Comprehensive June Labour Force Survey. Survey estimates are subject to sampling variability.",,
Proportion Of Owner-Occupied Resident Households (Per Cent):,,
Refers to the proportion of households where the household reference person and/or any other member(s) in the household owns the dwelling unit.,,
Proportion Of Owner-Occupied Resident Households -> Total HDB Dwellings (Per Cent):,,
Data for years prior to 2018 includes non-privatised Housing and Urban Development Company (HUDC) flats.,,
Proportion Of Owner-Occupied Resident Households -> Total HDB Dwellings -> HDB 1- And 2-Room Flats (Per Cent):,,
Includes HDB studio apartments. ,,
,,
Definitions,,
Tenancy:,,
Refers to the tenure status of the household with respect to the dwelling in which the household members live in. “Owner-Occupied” refers to a household where the household reference person and/or any other member(s) in the household owns the dwelling unit. This includes those which are fully paid-up as well as those with outstanding housing loans. “Rented” refers to a household where the household reference person and/or any other member(s) in the household rents whole or part of the dwelling unit.,,
,,
Notation:,,
na   not available or not applicable,,
nec  not elsewhere classified,,
nes  not elsewhere specified,,
 -     nil or negligible or not significant,,
Notes,,
Numbers may not add up to the totals due to rounding.,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,
Values are shown in Singapore dollars (unless otherwise specified).,,
,,
Generated by: SingStat Table Builder,,
Date generated: 03/01/2024,,
Contact: info@singstat.gov.sg,,
